date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:23	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Jun%202026%2008:41:25%20GMT	http://sharvaconsulting.com/wp-login.php	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-login.0.delayed	(from )
14:10:24	9716/9716	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202026%2008:41:25%20GMT	https://sharvaconsulting.com/wp-login.php	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-login.html	(from )
14:10:25	176/176	---M-Z	200	added ('OK')	text/plain	date:Fri,%2026%20Jun%202026%2008:41:26%20GMT	https://sharvaconsulting.com/robots.txt		(from )
14:10:26	55544/55544	---M--	200	added ('OK')	image/jpeg	etag:%22d8f8-68caaa67-98f4420cdefec4fb;;;%22	https://sharvaconsulting.com/wp-content/uploads/2025/08/1000325607.jpeg	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-content/uploads/2025/08/1000325607.jpg	(from https://sharvaconsulting.com/wp-login.php)
14:10:26	18481/18481	---M-Z	200	added ('OK')	application/x-javascript	etag:%224831-68caaa67-a62fa3db8d0e2b3a;gz%22	https://sharvaconsulting.com/wp-content/plugins/vibebp/assets/js/iziToast.min.js?ver=1.9.9.8	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-content/plugins/vibebp/assets/js/iziToast.min8759.js	(from https://sharvaconsulting.com/wp-login.php)
14:10:26	41500/41500	---M-Z	200	added ('OK')	text/css	etag:%22a21c-68caaa67-effdfe8e457fbe23;gz%22	https://sharvaconsulting.com/wp-content/plugins/vibebp/assets/css/iziToast.min.css?ver=1.9.9.8	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-content/plugins/vibebp/assets/css/iziToast.min8759.css	(from https://sharvaconsulting.com/wp-login.php)
14:10:26	43601/43601	---M-Z	200	added ('OK')	text/css	etag:%22aa51-69de1d35-fc5830e309c632c2;gz%22	https://sharvaconsulting.com/wp-content/plugins/formidable/css/formidableforms.css?ver=4141055	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-content/plugins/formidable/css/formidableforms49ee.css	(from https://sharvaconsulting.com/wp-login.php)
14:10:26	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-68caaa65-71380c98a7a1cf49;gz%22	https://sharvaconsulting.com/wp-includes/css/dashicons.min.css?ver=6.8.5	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-includes/css/dashicons.mina784.css	(from https://sharvaconsulting.com/wp-login.php)
14:10:27	6061/6061	---M-Z	200	added ('OK')	text/css	etag:%2217ad-68caaa65-2939a5d0a9ab3782;gz%22	https://sharvaconsulting.com/wp-includes/css/buttons.min.css?ver=6.8.5	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-includes/css/buttons.mina784.css	(from https://sharvaconsulting.com/wp-login.php)
14:10:28	28448/28448	---M-Z	200	added ('OK')	text/css	etag:%226f20-68caaa65-ddf7f2d210f3c812;gz%22	https://sharvaconsulting.com/wp-admin/css/forms.min.css?ver=6.8.5	C:/Users/USER/Downloads/Internship/mywebsite/sharvaconsulting.com/wp-admin/css/forms.mina784.css	(from https://sharvaconsulting.com/wp-login.php)
